,lotAreaValue,address,bedrooms,longitude,latitude,zpid,bathrooms,livingArea,CONDO,LOT,SINGLE_FAMILY,TOWNHOUSE,price
998,0.1699999999999999,27617,4.0,-78.732414,35.905746,50120492,3.0,1953.0,0,0,1,0,549900
15,0.86,27592,3.0,-78.674225,35.58899,6496386,2.0,1409.0,0,0,1,0,350000
426,4.9199954086318,27603,3.0,-78.671936,35.702915,6433831,1.0,1098.0,0,0,1,0,350000
583,0.68,27603,3.0,-78.67515,35.60635,336866222,3.0,2579.0,0,0,1,0,725000
704,0.19,27540,5.0,-78.83127,35.654118,133699034,3.0,2657.0,0,0,1,0,520300
714,0.029981634527089,27511,3.0,-78.779205,35.78522,331656744,3.5,2956.0,0,0,1,0,5995
836,0.1699999999999999,27604,3.0,-78.572716,35.813545,60397136,2.0,1491.0,0,0,1,0,363000
436,0.1399999999999999,27616,2.0,-78.56509,35.878967,6493505,2.0,1048.0,0,0,1,0,233500
327,0.053,27529,3.0,-78.617096,35.683666,336867279,3.0,1529.0,0,0,0,1,324141
728,0.02,27607,4.0,-78.73778,35.80439,305125825,4.0,2157.0,0,0,0,1,575000
900,0.03,27612,3.0,-78.72409,35.869568,133201060,4.0,1928.0,0,0,0,1,387500
439,1.87,27615,3.0,-78.61357,35.91101,6508272,3.0,2108.0,0,1,0,0,160000
139,0.02,27502,3.0,-78.87337,35.74304,60394059,3.0,1460.0,0,0,0,1,332500
719,0.46,27603,3.0,-78.6621,35.634064,53457969,2.0,1369.0,0,0,1,0,334200
337,0.62,27587,4.0,-78.54358,35.988495,60539590,4.0,3740.0,0,0,1,0,840000
977,0.21,27587,4.0,-78.51495,35.95514,215492830,4.0,2975.0,0,0,1,0,570000
713,0.12,27591,3.0,-78.427765,35.76075,248754407,3.0,2375.0,0,0,1,0,500000
777,0.35,27587,4.0,-78.47938,35.960285,69566800,3.0,2205.0,0,0,1,0,470000
557,0.15,27610,5.0,-78.564606,35.75542,71843914,3.0,2034.0,0,0,1,0,370000
108,0.9,27603,3.0,-78.67908,35.617996,69564748,3.0,3196.0,0,0,1,0,675000
927,1.92,27529,3.0,-78.55284,35.671375,60535829,2.0,1210.0,0,0,0,0,240000
120,0.6,27592,3.0,-78.70403,35.55616,336868134,3.0,2108.0,0,1,0,0,493500
287,0.25,27526,3.0,-78.7865,35.605644,6484648,2.0,1567.0,0,0,1,0,351000
