,propertyType,lotAreaValue,address,price,bedrooms,longitude,latitude,zpid,bathrooms,livingArea,SB_ID
20,SINGLE_FAMILY,1,27545,239500,3,-78.47624,35.818184,6484424,2,1250,213
21,TOWNHOUSE,0.03,27604,265000,2,-78.58176,35.840878,6490029,3,1263,214
22,SINGLE_FAMILY,0.71,27587,415000,3,-78.52075,35.892918,6493520,3,1755,231
23,SINGLE_FAMILY,0.25,27613,365000,3,-78.70969,35.867783,6493587,2,1482,232
24,SINGLE_FAMILY,1,27523,625000,3,-78.84268,35.75258,6498568,2,2324,252
25,TOWNHOUSE,0.04,27615,415000,3,-78.67304,35.888012,6499813,4,2112,253
26,SINGLE_FAMILY,2.52,27592,365000,3,-78.712776,35.585518,6500648,2,1500,254
27,SINGLE_FAMILY,2.074,27526,725000,3,-78.76922,35.572098,6518331,3,3008,255
28,SINGLE_FAMILY,0.21,27513,630000,3,-78.83431,35.785473,6521446,3,2058,256
29,SINGLE_FAMILY,0.239990817,27526,351000,3,-78.798294,35.573975,6526062,2.5,1400,257
30,SINGLE_FAMILY,0.169995409,27616,463500,,-78.52286,35.874565,65333723,2.5,2112,258
31,SINGLE_FAMILY,0.119995409,27519,425000,,-78.84913,35.774834,6535363,2.5,1558,270
32,SINGLE_FAMILY,0.81,27513,1315000,5,-78.84077,35.78804,6543491,5,4383,271
33,SINGLE_FAMILY,0.25,27603,448000,3,-78.67021,35.74183,6555047,3,1863,272
34,SINGLE_FAMILY,0.22,27612,473000,3,-78.72889,35.870907,6557635,2,1471,273
35,SINGLE_FAMILY,0.17,27617,501000,3,-78.73074,35.90688,6557646,3,1740,274
36,SINGLE_FAMILY,0.96,27615,833250,4,-78.68411,35.936447,6559990,3,3658,275
37,SINGLE_FAMILY,0.17,27502,501000,4,-78.910995,35.722504,6562940,2,1808,276
38,SINGLE_FAMILY,0.279981635,27610,120000,3,-78.54294,35.74717,6563703,2,1498,277
39,TOWNHOUSE,0.03,27513,340000,3,-78.78759,35.79343,67555524,3,1401,278
0,MULTI_FAMILY,,27606,97000,1,-78.74132,35.77597,132157059,1,820,279
1,TOWNHOUSE,0.09,27539,525000,4,-78.81384,35.67248,133699029,3,2659,280
2,SINGLE_FAMILY,0.19,27545,450000,5,-78.50553,35.757027,133703605,3,2837,281
3,CONDO,0,27519,330000,2,,,2062730883,3,1357,282
4,CONDO,0,27603,850000,2,,,2063231777,3,1464,283
5,SINGLE_FAMILY,0.15,27591,695000,4,,,2064141733,3,3233,284
6,CONDO,0,27511,195000,2,,,2065067827,1,730,285
