,Store Name,Street Address,City,Postcode,Longitude,Latitude
246,Mount Mourne,235 Medical Park Road,Mooresville,28117,-80.85,35.55
247,Harris Teeter-Mooresville #99,134 Town Center Drive,Mooresville,28117,-80.88,35.59
248,River Highway & Rolling Hill Road,"489 River Hwy, Suite A",Mooresville,28117,-80.86,35.59
249,Super Target Mooresville ST-1505,"594 River Hwy, Crystal Coast Plaza",Mooresville,28117,-80.87,35.6
250,"Morehead City, NC","5186 Hwy 70, Unit A",Morehead City,28557,-76.81,34.74
251,Ingles-Morganton #120,114 Carbon City Rd,Morganton,28655,-81.71,35.74
252,Target Morrisville T-2721,"3001 Market Center Dr, A",Morrisville,27560,-78.82,35.81
253,Park West Village,"3037 Village Market Place, 190, 919-",Morrisville,27560,-78.82,35.81
254,RDU T1 Post-Security,"2400 John Brantley Blvd, Davis Commons",Morrisville,27560,-78.8,35.87
255,Grace Park,3608-400 Davis Drive,Morrisville,27560,-78.85,35.82
256,Harris Teeter @ Morrisville # 104,4093 Davis Drive,Morrisville,27560,-78.86,35.84
257,RDU - T2 Temp,2400 John Brantley Blvd,Morrisville,27560,-78.79,35.87
258,RDU T1 Baggage Claim,2400 W Terminal Blvd,Morrisville,27560,-78.8,35.87
259,Ingles Murphy - #25,2060 Hwy 19,Murphy,28906,-84.01,35.11
260,Cherokee River Valley Hotel and Cas,777 Casino Parkway,Murphy,28906,-83.99,35.12
261,Target New Bern T-1015,3410 Dr Martin Luther King Blvd,New Bern,28562,-77.1,35.1
262,New Bern Mall,3182 Martin Luther King Jr Blvd,New Bern,28562,-77.09,35.1
263,Harris Teeter - New Bern #221,2019 S Glenburnie Road,New Bern,28562,-77.1,35.1
264,Harris Teeter New Bern # 139,"Hwy. 70 & Thurmann St., Northlake Mall",New Bern,28562,-77.0,35.01
265,Northlake Mall,"6801 Northlake Mall Drive, Space K101",North Charlotte,28216,-80.85,35.35
266,UNC Pembroke,1 University Rd,Pembroke,28372,-79.2,34.69
267,Harris Teeter Pinehurst # 80,"305 Ivey Ln, Carolina Place",Pinehurst,28374,-79.48,35.21
268,Teavana - Carolina Place,"11025 Carolina Place Pkwy, #A-21, Carolina Place Mall",Pineville,28134,-80.88,35.08
269,Carolina Place Mall,"11025 Carolina Place Parkway, A-140",Pineville,28134,-80.88,35.08
270,Stonehenge,"7498 Creedmor Road, Crabtree Valley Mall",Raleigh,27613,-78.68,35.89
271,Teavana - Crabtree Valley Mall,"4325 Glenwood Ave., #1068",Raleigh,27612,-78.68,35.84
272,Capital & Spring Forest,5100 Capital Blvd,Raleigh,27616,-78.58,35.86
273,Marriott Downtown Raleigh,"500 Fayetteville St. Mall, Triangle Town Center",Raleigh,27601,-78.64,35.77
274,Triangle Towne Mall,"5959 Triangle Town Boulevard, Unit CL1136",Raleigh,27616,-78.58,35.87
275,Glenwood & Peace,609 W Peace St,Raleigh,27605,-78.65,35.79
276,Falls of Neuse @ Spring Forest Rd.,"6176 Falls of Neuse Road, LL01A, Falls Pointe Shopping Center",Raleigh,27609,-78.62,35.87
277,Village at Falls Pointe,"9630 Falls of the Neuse Road, 101, North Hills Plaza",Raleigh,27615,-78.6,35.9
278,North Hills Plaza,"4421 Six Forks Road, 116, Cameron Village Shopping Center",Raleigh,27609,-78.64,35.84
279,Cameron Village - HT,500 Oberlin Road,Raleigh,27605,-78.66,35.79
280,Harris Teeter - Raleigh #319,"2051 W Millbrook Rd, North Hills Mall",Raleigh,27612,-78.68,35.86
281,North Hills Center,"4160 Main Street, Suite 105",Raleigh,27609,-78.64,35.84
282,Target Raleigh  Central T-1892,4191 The Circle at N Hills St.,Raleigh,27609,-78.64,35.84
283,Old Raleigh Village,3101-305 Edwards Mill Road,Raleigh,27612,-78.71,35.83
284,RDU Terminal C Presecurity,1025 Airside Dr,Raleigh,27623,-78.79,35.86
285,Pleasant Valley Promenade,"6282 Glenwood Avenue, Alexander Place",Raleigh,27612,-78.7,35.86
286,Alexander Place,"7854 Alexander Promenade Pl., Bldg. H, Ste. 1, Lake Boone Shopping Center",Raleigh,27617,-78.78,35.91
287,Lake Boone Trail,3800 Lake Boone Trail,Raleigh,27607,-78.69,35.82
288,Super Target Raleigh ST-1826,7900 Old Wake Forest Rd,Raleigh,27616,-78.57,35.87
289,Talley Student Center,1610 Cates Ave,Raleigh,27607,-78.67,35.78
