,Street Address,City,Longitude,Latitude
318,1005 International Drive,Wilmington,-77.83,34.24
319,"5920 Carolina Beach Road, Best Buy",Wilmington,-77.9,34.13
320,"311 S College Dr, Ste 100",Wilmington,-77.87,34.24
321,"3401 Raleigh Rd, Suite 101",Wilson,-77.96,35.74
322,3401 Raleigh Rd Pkwy W,Wilson,-77.97,35.74
323,2281 Cloverdale Ave,Winston Salem,-80.27,36.09
324,"1834 Wake Forest Rd, Hanes Mall",Winston Salem,-80.28,36.14
325,"3320 Silas Creek Pkwy, #136, DBA Fazolis",Winston Salem,-80.3,36.07
326,5980 University Parkway,Winston-Salem,-80.28,36.19
327,"263 Harvey St, Hanes Mall",Winston-Salem,-80.29,36.09
328,"3320  Silas Creek Parkway, PK44",Winston-Salem,-80.3,36.07
329,2835 Reynolda Rd,Winston-Salem,-80.3,36.14
330,3327 Robinhood Road,Winston-Salem,-80.31,36.12
331,5420 University Pkwy,Winston-Salem,-80.28,36.17
332,"605 Jonestown Road, Hanes Mall",Winston-Salem,-80.34,36.07
333,2015 Frontis Plaza Boulevard,Winston-Salem,-80.3,36.06
334,"110 Oakwood Drive, Space U122, N/A",Winston-Salem,-80.28,36.09
335,2898 Reynolda Road,Winston-Salem,-80.3,36.14
336,1834 Wake Forest Rd,Winston-Salem,-80.28,36.13
337,1 Medical Center Blvd,Winston-Salem,-80.27,36.09
